Sample,Sampling,Model,Accuracy
Sample5,Sampling3,ModelO,0.9702380952380952
Sample5,Sampling3,ModelP,0.8630952380952381
Sample5,Sampling3,ModelQ,0.9821428571428571
Sample5,Sampling4,ModelM,0.9107142857142857
Sample5,Sampling4,ModelN,0.9940476190476191
Sample5,Sampling4,ModelO,0.9702380952380952
Sample5,Sampling4,ModelP,0.8571428571428571
Sample5,Sampling4,ModelQ,0.9583333333333334
Sample5,Sampling5,ModelM,0.9285714285714286
Sample5,Sampling5,ModelN,1.0
Sample5,Sampling5,ModelO,0.9702380952380952
Sample5,Sampling5,ModelP,0.9345238095238095
Sample5,Sampling5,ModelQ,0.9940476190476191
